Room No.,Building Name,Floor No.,Category 1,Category,Category_New,Main Category,Name of School,Name of Department,Area in Sqm,Area in SQFT,Number of benches,Chair,Single Seater Bench,2 Seater Bench,3 Seater Bench,4 Seater Bench,5 Seater Bench,6 Seater Bench,Number of Stools,Number Of Rows,Number Of Column,Capacity,Smartboard,Smart TV,LED TV,CCTV,Computer/Laptop,Floor Area in Sqm,Floor Area in SQFT, , , , , , , , , , , , 
AM-101,ABRAHAM,1F,DINING HALL,DINING HALL,DINING HALL,Essential,-,GIRLS HOSTEL,218.92,"2,355.58",-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-102,ABRAHAM,1F,WASHROOM,WASHROOM,WASHROOM,Essential,-,-,5.27,56.71,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-201,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-202,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-203,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-204,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-205,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-206,ABRAHAM,2F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-301,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-302,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-303,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-304,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-305,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-306,ABRAHAM,3F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-401,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-402,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-403,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-404,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-405,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-406,ABRAHAM,4F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-501,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-502,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-503,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-504,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-505,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AM-506,ABRAHAM,5F,HOSTEL ROOM,HOSTEL ROOM,HOSTEL,Essential,-,GIRLS HOSTEL,37.36,401.99,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,224.19,"2,412.28",,,,,,,,,,,,
AT- B001,AGASTYA,B1,BOOK RACK HALL,BOOK RACK HALL,LIBRARY,Student Learning Space,-,Central Library,87.33,939.67,0,5,-,-,-,-,-,-,5,-,-,2,0,-,-,10,2,134.77,"1,450.13",,,,,,,,,,,,
AT- B002,AGASTYA,B1,HOUSEKEEPING ROOM,HOUSEKEEPING ROOM,UTILITY ROOM,Essential,-,-,6.32,68.00,2,2,-,2,-,-,-,-,-,-,-,2,0,-,-,-,2,134.77,"1,450.13",,,,,,,,,,,,
