id,building_id,floor_number,name,is_active,created_at
01d6799b-e2e5-4aa0-b7c7-ca639af8429a,23e05a9b-668e-41a8-8a92-d093da273bed,0,Floor G,true,2025-08-17 12:25:42.736791+00
02ce8eae-814a-4845-98a2-38d04009d52a,c2cd0170-9b2e-4354-984a-01309b084b55,6,Floor 6,true,2025-08-17 12:13:26.068994+00
0579588d-6eaf-4996-85c5-1f17bc45598f,8169b223-2d9b-4d0d-9f20-fb1f0ff54925,0,Floor G,true,2025-08-17 12:21:17.830309+00
06b60e57-4e71-4257-8c60-1a190982850d,8c606b87-4104-49bb-b20d-468c3eb17923,7,Floor 7,true,2025-08-17 15:51:47.495886+00
06ce229f-4e0f-4ca2-aba9-9f5647df8e04,8c606b87-4104-49bb-b20d-468c3eb17923,5,Floor 5,true,2025-08-17 15:51:09.823978+00
0baa78fc-3467-42c5-ba11-1a2432a7171e,db25c05d-9ec3-460c-812a-5970d855a023,6,Floor 6,true,2025-08-17 15:18:34.120703+00
0c723cc2-62cd-4e42-89e0-325a96d73c91,db25c05d-9ec3-460c-812a-5970d855a023,5,Floor 5,true,2025-08-17 15:18:24.778414+00
0ce69563-9d20-413a-8b08-97ca9b6db776,9df2f6de-5404-4974-9331-8a5d79ec93af,2,Floor 2,true,2025-08-13 04:59:47.48461+00
0dfca7c2-9f95-4934-a8a2-2b4c507b14b9,6cff2fd8-bb31-47ab-8498-de5fc474249f,2,Floor 2,true,2025-08-17 12:28:18.289407+00
0fcbefd6-09c0-4460-a584-0ce45376cbfb,07aaf60d-c6f5-4d0d-98f4-cefed8e99515,4,Floor 4,true,2025-08-17 12:17:02.096071+00
139af370-ff3e-4a5f-915a-1901621cbaa8,db25c05d-9ec3-460c-812a-5970d855a023,-1,Floor B1,true,2025-08-17 15:16:49.835301+00
15836122-020a-4fd4-84fb-39c426a544b1,e33ca139-eda0-4710-9fcc-72178f32e188,4,Floor 4,true,2025-08-17 12:24:07.242322+00
15abbbb5-ad94-4a6e-899b-f00aed268dbf,0af6bc0f-7e31-49d8-88a9-2ff414018fe5,1,Floor 1,true,2025-08-17 15:47:29.019108+00
15b324f6-2666-43ac-98f0-28a96ed5b571,8c606b87-4104-49bb-b20d-468c3eb17923,4,Floor 4,true,2025-08-17 15:50:44.1344+00
15d2fa89-2593-4133-ba03-728cae54f3fb,c2cd0170-9b2e-4354-984a-01309b084b55,5,Floor 5,true,2025-08-17 12:13:15.777196+00
16d598b3-2307-4359-a7a0-b70a4e3bdb67,497ee87e-246b-43ad-8f52-4b2d73d6d563,9,Floor 9,true,2025-08-17 15:46:40.217046+00
1710358f-af38-46f0-acd9-1f5d67d7c417,c9d8ab2a-d543-4e56-b83a-d667da55b399,3,Floor 3,true,2025-08-13 04:58:04.814175+00
177d9609-c23c-4ecc-ad71-2f366eb6d0ef,6d12ade9-3a84-42d3-bca6-4ac8c03af07c,4,Floor 4,true,2025-08-13 04:53:30.105084+00
18b9a535-8d08-4186-be2c-18b9844442d5,07aaf60d-c6f5-4d0d-98f4-cefed8e99515,5,Floor 5,true,2025-08-17 12:17:12.629908+00
18f5f3b2-700d-406a-adff-685694ac0bf9,6d12ade9-3a84-42d3-bca6-4ac8c03af07c,2,Floor 2,true,2025-08-13 04:53:09.945818+00
19bece55-345c-4ee8-92f1-31d1821177f6,db25c05d-9ec3-460c-812a-5970d855a023,1,Floor 1,true,2025-08-17 15:17:12.605908+00
1ac1ebfd-d47d-4844-9586-4eec1927ff59,c9d8ab2a-d543-4e56-b83a-d667da55b399,-1,Floor B1,true,2025-08-13 04:57:24.424255+00
1b469189-fe06-4e74-a3ca-aca131626ae0,eb2405c3-f57b-4f84-a588-314e895d8166,0,Floor G,true,2025-08-17 12:13:49.437835+00
1c1a1971-80c7-44f9-9fc5-e94d3bd58753,e33ca139-eda0-4710-9fcc-72178f32e188,-2,Floor B2,true,2025-08-17 12:23:01.182756+00
1ca57bbb-de52-4c13-a942-7441e80ca23e,e33ca139-eda0-4710-9fcc-72178f32e188,3,Floor 3,true,2025-08-17 12:23:59.891292+00
1e3ae13a-65d0-483c-9bed-37a0e8a307f6,8c606b87-4104-49bb-b20d-468c3eb17923,-1,Floor -1,true,2025-08-17 15:49:40.507933+00
1e524922-6f41-4fe6-87ed-a7d52560c5cc,9a3a4999-9b0f-4519-a38d-3f87ab5e3fc4,2,Floor 2,true,2025-08-17 15:11:07.459386+00
22ae89b0-8fbb-4843-ae67-8eaddd42fa7d,db25c05d-9ec3-460c-812a-5970d855a023,0,Floor G,true,2025-08-17 15:16:59.544664+00
23abdade-ba84-453f-8c82-79d06b0bd310,07aaf60d-c6f5-4d0d-98f4-cefed8e99515,0,Floor G,true,2025-08-17 12:16:10.251507+00
23ea80b8-6d84-42c5-a037-07028cdd1f48,9df2f6de-5404-4974-9331-8a5d79ec93af,0,Floor G,true,2025-08-13 04:59:31.260553+00
2710ad56-6591-4b2f-a0d5-bed696730bd5,07aaf60d-c6f5-4d0d-98f4-cefed8e99515,3,Floor 3,true,2025-08-17 12:16:50.087745+00
2798a18e-57b0-49d3-bab6-9c2bd2bfb68f,497ee87e-246b-43ad-8f52-4b2d73d6d563,-1,Floor B1,true,2025-08-17 15:44:34.296396+00
28c106ec-b373-4a9a-940b-271c9b71a32a,eb2405c3-f57b-4f84-a588-314e895d8166,2,Floor 2,true,2025-08-17 12:14:09.480534+00
290e5c14-4bc3-4356-a52b-5be86e20c39b,e33ca139-eda0-4710-9fcc-72178f32e188,2,Floor 2,true,2025-08-17 12:23:50.314032+00
2be8ae3d-9919-485c-aab4-9e1c8d804c94,497ee87e-246b-43ad-8f52-4b2d73d6d563,5,Floor 5,true,2025-08-17 15:46:03.852914+00
2c53eac8-c07a-4e1a-93fd-a580205ba32f,3713d3a7-49c4-466b-9b5d-2820a77ed123,-1,Floor B1,true,2025-08-13 04:53:58.424371+00
2d55972a-319a-4512-8e85-6f052881b0d7,fa1893b7-b130-4a8d-a85c-9ec9a3d53f6d,4,Floor 4,true,2025-08-17 15:43:55.108662+00
